"GSE_ID","Category","Title","Sample_Count","Platform","Disease_Focus","Quality_Score","Relevance_Score","Power_Score","CAMK2D_Score","Overall_Score","Tier","Recommendation"
"GSE208494","human_atrial_fib","Human AF with Anti-arrhythmic Drug Evaluation (202",32,"RNA-seq","Atrial Fibrillation",8,9,6,6.5,7.4,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE154030","camk2d_specific","CAMK2D Splice Variants in Human Hippocampus",24,"RNA-seq","Neural",7,8,4,10,7.4,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE1145","human_heart_failure","Heart Failure Etiology Comparison Study",37,"Microarray","Heart Failure",7,8,6,7,7.1,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE79962","human_heart_failure","Multi-etiology Heart Failure Analysis",48,"Microarray","Heart Failure",7,8,6,7,7.1,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE42955","human_heart_failure","Heart Failure Progression Study",42,"Microarray","Heart Failure",7,8,6,7,7.1,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE36074","mouse_cardiac","Mouse Pressure Overload-induced Heart Failure",36,"Microarray","Heart Failure",8,8,6,7,7.1,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE203367","human_atrial_fib","Multi-regional Atrial Fibrillation RNA-seq",21,"RNA-seq","Atrial Fibrillation",7,9,4,7.5,7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE226283","human_atrial_fib","Atrial Fibrillation Cardiac Tissue Analysis",21,"RNA-seq","Atrial Fibrillation",7,9,4,7.5,7,"Tier 2 (Good)","Suitable for meta-analysis"
"GSE21610","human_heart_failure","Ischemic vs Non-ischemic Cardiomyopathy",30,"Microarray","Heart Failure",6,8,6,6,6.8,"Tier 3 (Acceptable)","Use with caution"
"GSE71733","mouse_cardiac","Aging-induced AF Mouse Model",22,"RNA-seq","Atrial Fibrillation",7,9,4,6.5,6.8,"Tier 3 (Acceptable)","Use with caution"
"GSE201018","mouse_cardiac","RBM20 I536T variant affects CAMK2D splicing in car",12,"RNA-seq","CAMK2D Splicing",9,8,2,10,6.8,"Tier 3 (Acceptable)","Use with caution"
"GSE228762","camk2d_specific","CAMK2D CRISPR Knockout in mpkCCD cells",12,"RNA-seq","Kidney/Vasopressin",8,8,2,10,6.8,"Tier 3 (Acceptable)","Use with caution"
"GSE23294","mouse_cardiac","CAMK2D Transgenic Overexpression Model",20,"Microarray","CAMK2D Overexpression",8,7,4,9,6.7,"Tier 3 (Acceptable)","Use with caution"
"GSE41177","human_atrial_fib","Established Atrial Fibrillation Dataset",28,"Microarray","Atrial Fibrillation",8,8,4,7,6.5,"Tier 3 (Acceptable)","Use with caution"
"GSE18224","mouse_cardiac","CAMK2D Knockout Mouse Cardiac Study",16,"Microarray","CAMK2D Knockout",9,7,2,10,6.4,"Tier 3 (Acceptable)","Use with caution"
"GSE151156","mouse_cardiac","Mouse Cardiac Hypertrophy with Calcium Signaling F",35,"RNA-seq","Cardiac Hypertrophy",8,6,6,7.5,6.4,"Tier 3 (Acceptable)","Use with caution"
"GSE26887","human_heart_failure","Dilated Cardiomyopathy Expression Analysis",25,"Microarray","Heart Failure",6,8,4,6,6.2,"Tier 3 (Acceptable)","Use with caution"
"GSE79768","human_atrial_fib","AF Validation Microarray Study",24,"Microarray","Atrial Fibrillation",7,8,4,6,6.2,"Tier 3 (Acceptable)","Use with caution"
"GSE14975","human_atrial_fib","Atrial Tissue-Specific Analysis",18,"Microarray","Atrial Fibrillation",6,8,2,7,5.9,"Tier 3 (Acceptable)","Use with caution"
"GSE1869","mouse_cardiac","TAC Mouse Model (Pressure Overload)",18,"Microarray","Heart Failure",8,8,2,6,5.6,"Tier 3 (Acceptable)","Use with caution"
